run_id,model,epochs,imgsz,batch,optimizer,lr0,weight_decay,patience,train_time_min,box_precision,box_recall,box_map50,box_map50_95,seg_precision,seg_recall,seg_map50,seg_map50_95
V8_E00,yolov8n-seg.pt,3,640,2,AdamW,0.001,0.0001,2,9.671884477,0.707132131,0.545454545,0.626631288,0.341271584,0.707132131,0.545454545,0.62461821,0.35958472
V8_E00,yolov8n-seg.pt,3,640,2,AdamW,0.001,0.0001,2,9.507906862,0.707132131,0.545454545,0.626631288,0.341271584,0.707132131,0.545454545,0.62461821,0.35958472
V8_E01,yolov8n-seg.pt,10,640,2,AdamW,0.001,0.0001,3,31.91942967,0.763711264,0.643939394,0.714877841,0.395796098,0.781680941,0.659090909,0.731133973,0.423896083
V8_E02,yolov8n-seg.pt,10,640,2,AdamW,0.0001,0.0001,3,32.40634348,0.706304114,0.590909091,0.642772645,0.371160059,0.724347672,0.597227473,0.647531189,0.379853179
V8_E03,yolov8n-seg.pt,10,640,2,AdamW,0.0003,0.0001,3,32.63501168,0.78729679,0.616915707,0.735511873,0.426961248,0.776409302,0.628787879,0.731660605,0.431761159
V8_E04,yolov8n-seg.pt,10,512,2,AdamW,0.0003,0.0001,3,31.52640159,0.746048691,0.621212121,0.735973008,0.43985202,0.776043792,0.630038529,0.746262078,0.451630603
V8_E05,yolov8n-seg.pt,10,800,2,AdamW,0.0003,0.0001,3,33.32396264,0.753043936,0.636363636,0.729048528,0.423668172,0.746171111,0.636363636,0.719216603,0.437591342
V8_E06,yolov8n-seg.pt,10,800,2,AdamW,0.0003,0.0005,3,33.370563,0.751937476,0.620035906,0.715085078,0.427096423,0.739790882,0.646164234,0.723400266,0.43940111
V8_E07,yolov8n-seg.pt,10,800,2,AdamW,0.0003,0.001,3,32.82755715,0.72271368,0.651595811,0.709963412,0.413814143,0.732146029,0.662652767,0.716262941,0.434671393
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Unseen Test Results,,,,,,,,,,,,,,,,,
best_run_id,model,optimizer,epochs,imgsz,batch,lr0,weight_decay,test_box_precision,test_box_recall,test_box_map50,test_box_map50_95,test_seg_precision,test_seg_recall,test_seg_map50,test_seg_map50_95,,
V8_E04,yolov8n-seg.pt,AdamW,10,512,2,0.0003,0.0001,0.712434338,0.689757213,0.717754953,0.477951791,0.776127907,0.670454545,0.741265389,0.469997626,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
External Dataset Results,,,,,,,,,,,,,,,,,
model_family,best_run_id,model,imgsz,batch,lr0,weight_decay,external_box_precision,external_box_recall,external_box_map50,external_box_map50_95,external_seg_precision,external_seg_recall,external_seg_map50,external_seg_map50_95,,,
YOLOv8,V8_E04,yolov8n-seg.pt,512,2,0.0003,0.0001,0.712456559,0.689832116,0.717732492,0.477946902,0.776143419,0.670454545,0.74125435,0.470083628,,,
